ADM_SECT_GBN|ADM_CD|ADM_SECT_NM|LOWEST_ADM_SECT_NM|DEL_YMD|CHG_BEF_ADM_SECT_GBN|CRE_YMD|CHG_BEF_ADM_SECT_CD|COL_ADM_SECT_CD
L|4150025334|경기도 이천시 부발읍 응암리|응암리||L|19960301|4184025634|26110
L|4150031000|경기도 이천시 신둔면|신둔면||L|19960301|4184031000|26110
L|4150031021|경기도 이천시 신둔면 수광리|수광리||L|19960301|4184031021|26110
L|4150031022|경기도 이천시 신둔면 남정리|남정리||L|19960301|4184031022|26110
L|4150031023|경기도 이천시 신둔면 지석리|지석리||L|19960301|4184031023|26110
L|4150031024|경기도 이천시 신둔면 장동리|장동리||L|19960301|4184031024|26110
L|4150031025|경기도 이천시 신둔면 도봉리|도봉리||L|19960301|4184031025|26110
L|4150031026|경기도 이천시 신둔면 도암리|도암리||L|19960301|4184031026|26110
L|4150031027|경기도 이천시 신둔면 수하리|수하리||L|19960301|4184031027|26110
L|4150031028|경기도 이천시 신둔면 수남리|수남리||L|19960301|4184031028|26110
L|4150031029|경기도 이천시 신둔면 고척리|고척리||L|19960301|4184031029|26110
L|4150031030|경기도 이천시 신둔면 용면리|용면리||L|19960301|4184031030|26110
L|4150031031|경기도 이천시 신둔면 인후리|인후리||L|19960301|4184031031|26110
L|4150031032|경기도 이천시 신둔면 마교리|마교리||L|19960301|4184031032|26110
L|4150031033|경기도 이천시 신둔면 소정리|소정리||L|19960301|4184031033|26110
L|4150032000|경기도 이천시 백사면|백사면||L|19960301|4184032000|26110
L|4150032021|경기도 이천시 백사면 현방리|현방리||L|19960301|4184032021|26110
L|4150032022|경기도 이천시 백사면 경사리|경사리||L|19960301|4184032022|26110
L|4150032023|경기도 이천시 백사면 도립리|도립리||L|19960301|4184032023|26110
L|4150032024|경기도 이천시 백사면 송말리|송말리||L|19960301|4184032024|26110
L|4150032025|경기도 이천시 백사면 신대리|신대리||L|19960301|4184032025|26110
L|4150032026|경기도 이천시 백사면 모전리|모전리||L|19960301|4184032026|26110
L|4150032027|경기도 이천시 백사면 도지리|도지리||L|19960301|4184032027|26110
L|4150032028|경기도 이천시 백사면 조읍리|조읍리||L|19960301|4184032028|26110
L|4150032029|경기도 이천시 백사면 우곡리|우곡리||L|19960301|4184032029|26110
L|4150032030|경기도 이천시 백사면 내촌리|내촌리||L|19960301|4184032030|26110
L|4150032031|경기도 이천시 백사면 상용리|상용리||L|19960301|4184032031|26110
L|4150032032|경기도 이천시 백사면 백우리|백우리||L|19960301|4184032032|26110
L|4150033000|경기도 이천시 호법면|호법면||L|19960301|4184034000|26110
L|4150033021|경기도 이천시 호법면 유산리|유산리||L|19960301|4184034021|26110
L|4150033022|경기도 이천시 호법면 안평리|안평리||L|19960301|4184034022|26110
L|4150033023|경기도 이천시 호법면 후안리|후안리||L|19960301|4184034023|26110
L|4150033024|경기도 이천시 호법면 단천리|단천리||L|19960301|4184034024|26110
L|4150033025|경기도 이천시 호법면 매곡리|매곡리||L|19960301|4184034025|26110
L|4150033026|경기도 이천시 호법면 동산리|동산리||L|19960301|4184034026|26110
L|4150033027|경기도 이천시 호법면 주박리|주박리||L|19960301|4184034027|26110
L|4150033028|경기도 이천시 호법면 주미리|주미리||L|19960301|4184034028|26110
L|4150033029|경기도 이천시 호법면 송갈리|송갈리||L|19960301|4184034029|26110
L|4150034000|경기도 이천시 마장면|마장면||L|19960301|4184035000|26110
L|4150034021|경기도 이천시 마장면 오천리|오천리||L|19960301|4184035021|26110
L|4150034022|경기도 이천시 마장면 양촌리|양촌리||L|19960301|4184035022|26110
L|4150034023|경기도 이천시 마장면 관리|관리||L|19960301|4184035023|26110
L|4150034024|경기도 이천시 마장면 회억리|회억리||L|19960301|4184035024|26110
L|4150034025|경기도 이천시 마장면 장암리|장암리||L|19960301|4184035025|26110
L|4150034026|경기도 이천시 마장면 목리|목리||L|19960301|4184035026|26110
L|4150034027|경기도 이천시 마장면 표교리|표교리||L|19960301|4184035027|26110
L|4150034028|경기도 이천시 마장면 이치리|이치리||L|19960301|4184035028|26110
L|4150034029|경기도 이천시 마장면 각평리|각평리||L|19960301|4184035029|26110
L|4150034030|경기도 이천시 마장면 덕평리|덕평리||L|19960301|4184035030|26110
L|4150034031|경기도 이천시 마장면 이평리|이평리||L|19960301|4184035031|26110
L|4150034032|경기도 이천시 마장면 해월리|해월리||L|19960301|4184035032|26110
L|4150034033|경기도 이천시 마장면 작촌리|작촌리||L|19960301|4184035033|26110
